"","V1","V2"
"1",5.6,-0.97
"2",5.6,-0.97
"3",5.6,-0.97
"4",5.6,-0.97
"5",5.6,-0.97
"6",5.6,-0.97
"7",5.6,-0.97
"8",5.6,-0.97
"9",5.6,-0.97
"10",5.6,-0.97
"11",5.6,-0.97
"12",5.6,-0.97
"13",5.6,-0.97
"14",5.6,-0.97
"15",5.6,-0.97
"16",5.6,-0.97
"17",5.6,-0.97
"18",5.6,-0.97
"19",5.6,-0.97
"20",5.6,-0.97
"21",5.6,-0.97
"22",5.6,-0.97
"23",5.6,-0.97
"24",5.6,-0.97
"25",5.6,-0.97
"26",5.6,-0.97
"27",5.6,-0.97
"28",5.6,-0.97
"29",5.6,-0.97
"30",5.6,-0.97
"31",5.6,-0.97
"32",5.6,-0.97
"33",5.6,-0.97
"34",5.6,-0.97
"35",5.6,-0.97
"36",5.6,-0.97
"37",5.6,-0.97
"38",5.6,-0.97
"39",5.6,-0.97
"40",5.6,-0.97
"41",5.6,-0.97
"42",5.6,-0.97
"43",5.6,-0.97
"44",5.6,-0.97
"45",5.6,-0.97
"46",5.6,-0.97
"47",5.6,-0.97
"48",5.6,-0.97
"49",5.6,-0.97
"50",5.6,-0.97
"51",5.6,-0.97
"52",5.6,-0.97
"53",5.6,-0.97
"54",5.6,-0.97
"55",5.6,-0.97
"56",5.6,-0.97
"57",5.6,-0.97
"58",5.6,-0.97
"59",5.6,-0.97
"60",5.6,-0.97
"61",5.6,-0.97
"62",5.6,-0.97
"63",5.6,-0.97
"64",5.6,-0.97
"65",5.6,-0.97
"66",5.6,-0.97
"67",5.6,-0.97
"68",5.6,-0.97
"69",5.6,-0.97
"70",5.6,-0.97
"71",5.6,-0.97
"72",5.6,-0.97
"73",5.6,-0.97
"74",5.6,-0.97
"75",5.6,-0.97
"76",5.6,-0.97
"77",5.6,-0.97
"78",5.6,-0.97
"79",5.6,-0.97
"80",5.6,-0.97
"81",5.6,-0.97
"82",5.6,-0.97
"83",5.6,-0.97
"84",5.6,-0.97
"85",5.6,-0.97
"86",5.6,-0.97
"87",5.6,-0.97
"88",5.6,-0.97
"89",5.6,-0.97
"90",5.6,-0.97
"91",5.6,-0.97
"92",5.6,-0.97
"93",5.6,-0.97
"94",5.6,-0.97
"95",5.6,-0.97
"96",5.6,-0.97
"97",5.6,-0.97
"98",5.6,-0.97
"99",5.6,-0.97
"100",5.6,-0.97
"101",5.6,-0.97
"102",5.6,-0.97
"103",5.6,-0.97
"104",5.6,-0.97
"105",5.6,-0.97
